Linha de ônibus,Cidade,Lista de pontos de paradas sequenciais
1021-10-1,São Paulo,"[2109852664, 927426892, 927427071, 4090477397, 936016850, 7992117530, 936061155, 936062727, 8718852274, 4013616408, 4013616408, 1804343903, 5716081877, 917144427, 2643938092, 1804210359, 1804343515, 7846530253, 7846530229, 3840268141, 4782091403, 4782091405, 4782091242, 1804342735, 4780110447]"
1024-10-0,São Paulo,"[1804210879, 1804210879, 4771329913, 1804210592, 1804210511, 1804158099, 4771282180, 4771282201, 4771282192, 1804158419, 1804087241, 1804087364, 1804087498, 1804253984, 1804254110, 5407639747, 9426374778, 8394989084, 1792732322, 1748248186, 1419859133, 5325456547, 6555339749, 5325635688, 1698866483]"
1024-10-1,São Paulo,"[1698866483, 5325635688, 6555339749, 5325456546, 1419859133, 1792732239, 8394989078, 9426374778, 2108153598, 1804254015, 917290934, 2554092595, 4301521795, 1804087241, 1804158419, 4771282192, 4771282201, 4771282180, 1804158137, 1804210623, 1804210471, 4768712861, 1804210511, 1804210592, 4771329913, 4782136689, 4782136689, 1804210879, 1804210879]"
1025-10-0,São Paulo,"[4773894344, 4773895609, 4782136720, 4771329913, 1804210592, 1804210511, 1804158099, 4771282180, 4771282201, 4771282192, 1804158419, 1804087241, 1804087364, 1804087498, 1804253984, 1804254110, 5407639747, 9426374778, 8394989084, 1792732322, 1748248186, 1419859133, 5325456547, 6555339749, 5325635688, 1698866483]"
1025-10-1,São Paulo,"[1698866483, 5325635688, 6555339749, 5325456546, 1419859133, 1792732239, 8394989078, 9426374778, 2108153598, 1804254015, 917290934, 2554092595, 4301521795, 1804087241, 1804158419, 4771282192, 4771282201, 4771282180, 1804158137, 1804210623, 1804210471, 4768712861, 1804210511, 1804210592, 4771329913, 4782136720, 4773894344]"
1026-10-0,São Paulo,"[1804253911, 6351365086, 1804254032, 917144433, 2543820123, 1783847698, 1783856757, 1804253946, 1804254035, 4303563798, 1804254307, 1804254347, 1792722987, 9426374778, 8394989084, 1792732322, 1748248186, 1419859133, 5325456547, 6555339749, 5325635688, 1698867972]"
1026-10-1,São Paulo,"[1698867972, 5325635688, 6555339749, 5325456546, 1419859133, 1792732239, 8394989078, 9426374778, 1792722987, 1792722987, 1804254278, 3891130642, 1804254035, 1804253946, 1783856757, 2543820123, 1804254009, 3891130605, 1804254051, 1804253911]"
1034-10-0,São Paulo,"[1804253911, 6351365086, 1804254032, 917144433, 1783867691, 2543820123, 1783847698, 1783856757, 1804253946, 453613018, 453613031, 8685400239, 1804254379, 1804254451, 453613053, 7953789421]"
1034-10-1,São Paulo,"[7953789421, 934219338, 934276542, 453613190, 453613194, 8685400235, 453613201, 453613209, 1804253946, 1783856757, 2543820123, 1804254009, 3891130605, 1804254051]"
1036-10-0,São Paulo,"[4782088976, 4782091242, 1804342735, 3840268141, 4782091433, 4782091432, 4782091060, 1804343581, 1804210359, 2643938092, 917144427, 1804344012, 1804210974, 936107819, 1805073301, 7981364235, 4173508701, 936107875, 936025788, 936025552, 936025511, 6240590831, 4176837997, 934277046, 934219338]"
1036-10-1,São Paulo,"[7302146193, 934219338, 934276866, 917290842, 936025511, 936025693, 936025746, 936107875, 7981364235, 1805073301, 936107796, 1804210974, 917144427, 2643938092, 1804210359, 4782091060, 4782091433, 4782091432, 3840268141, 4782091403, 4782091405]"
106A-10-0,São Paulo,"[4175186405, 494238542, 1709028075, 8224185511, 929591881, 26359148, 25908745, 25927315, 25928248, 2391290547, 2021790380, 60685859, 60685853, 3345691430, 6990772391, 7284616866, 1464773891, 457564828, 444959781, 2400595419, 140838890, 303788616, 2397445855, 3316883640, 3316883644, 3316840681, 3316840684, 6359739388, 8031770412, 302805961, 8031770407, 1117834962, 8073646950, 1452874398, 3316883630]"
106A-10-1,São Paulo,"[3316883630, 4690860004, 302806094, 3316883633, 3316840661, 6017776058, 300058933, 300059064, 140829044, 2397445855, 1550389890, 3052434206, 2400595419, 457564810, 1944745418, 1464773891, 4228472160, 60734206, 25928248, 25927018, 4230266410, 7812788554, 185794199, 929591956, 8009703605, 1709027940, 4175186405]"
107T-10-0,São Paulo,"[4242169103, 1657356713, 1662989959, 396034544, 2387989556, 1662992273, 1662994848, 4312047511, 1663251721, 1663256115, 507969877, 507969911, 507969890, 507969912, 2393533075, 932049232, 494740778, 494740756, 2116627833, 1709028075, 929591958, 4917020234, 462038011, 2783736246, 7935675054, 25908745, 25927315, 25928248, 2391290547, 2934697156, 60685715, 1464775792, 60686002, 140848390, 140848388, 140848388, 396151766, 444959814, 165467520, 60624616, 60624618, 60624614, 60624624, 303562336, 8765664031, 2834427777, 4041673366, 140819575, 303561515, 303561771, 8677594119, 302931965, 1944520044, 4009424180, 1669578476, 2447177224, 292425134, 465878166]"
107T-10-1,São Paulo,"[465878166, 465878303, 1964678726, 303561743, 1389167176, 140819575, 8722553434, 2834427777, 8765664031, 142803399, 60624624, 60624624, 60624614, 60624616, 60624605, 1953466363, 140848384, 396151766, 140848388, 140848390, 457559088, 2453626769, 60641664, 1477495382, 627981911, 60685911, 4228472160, 60734206, 25928248, 4230265784, 452091608, 2934921749, 2783736246, 929592349, 462038002, 2368192564, 494740755, 410243260, 4860118484, 494740766, 2443596211, 8045868726, 507969886, 507969877, 1663254520, 1663251721, 1662997830, 1371318608, 1371318616, 1657867521, 1371318721, 8058090709, 1663248094, 1657766823, 4242169103]"
1156-10-0,São Paulo,"[1656749099, 1656749162, 3615533268, 3615533228, 1656845679, 1656845894, 1656846038, 5581483817, 4907892123, 7992440476, 1662761621, 2585322109, 1662762134, 2583068888, 2614669347, 4919557991, 9400303388, 1662758902, 1662759135, 436762834, 1943741185, 4169839096, 436762857, 436762860, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 7935675051, 2783736243, 2783736246, 2934921749, 452091606, 25927315, 25928248, 2391290547, 2934697156, 2934697156, 2934697156, 60685635, 627981911, 627981911, 60685912]"
1156-10-1,São Paulo,"[60685912, 627981921, 627981921, 3345691430, 60685916, 60685911, 4228472160, 60734206, 25928248, 4230265784, 452091608, 2934921749, 6633613131, 452091577, 929655279, 2350164872, 2350165008, 597440, 2350165047, 3471338624, 436762796, 436762803, 436762814, 1943741920, 436762820, 1662768705, 1662759022, 2582770411, 436765260, 436765264, 2583068888, 1662763005, 2585322111, 5556847227, 1654618422, 5581484421, 1656859220, 1656859287, 1656845954, 2617258922, 3615533271, 3615533267, 1656749099]"
1177-10-0,São Paulo,"[3900798737, 1704987462, 155351761, 1679573224, 1679572850, 1609121497, 1207475421, 1609121491, 1609051142, 6831590685, 1673625183, 1609051072, 1673608291, 493878076, 1673608320, 1609073640, 6339908366, 2058923171, 2087846953, 2058923239, 1706412673, 5334219098, 2507830876, 1706412855, 6755956231, 1706412933, 1706412746, 1706412633, 1706344449, 1706345625, 8805143717, 138116629, 2108104605, 2107294361, 25781831, 25782038, 1824754107, 25782068, 8952974572, 1707673085, 25782248, 2348890982, 1707696367, 1708663300, 6221835688, 7285099759, 163220301, 2487452030, 7935675054, 25908745, 25927315, 25928248, 2391290547, 4228472160, 304055048, 2368800294]"
1177-10-1,São Paulo,"[2368800294, 60734206, 25928248, 25927018, 4230266409, 6633613131, 452091577, 929655279, 2350164872, 2350165008, 597440, 2350165047, 597441, 7986704272, 25778531, 1432170576, 130111898, 25778718, 26128865, 433999472, 433999472, 25781742, 4384427704, 4384427706, 1706345625, 1706346159, 1625722471, 2071453539, 1706412835, 357963975, 2066421041, 5334219098, 1705510414, 2066421033, 2087846982, 1664234806, 2058923171, 2528656610, 1673608735, 1673608332, 1664462419, 1673625183, 6093862295, 1215012569, 1213520987, 1609051142, 1609121491, 4154341719, 1609121497, 1679566028, 1663981481, 1664003684, 1665564424, 1665564397, 1664036317, 6208507920, 3900798737]"
